time,file,result,length
2024-05-07 20:27:10.044347+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030367.png,SUCCESS,0.29113551
2024-05-07 20:27:10.048754+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030366.png,SUCCESS,0.288757527
2024-05-07 20:27:10.053384+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030212.png,SUCCESS,0.177574658
2024-05-07 20:27:10.059226+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030206.png,SUCCESS,0.256523709
2024-05-07 20:27:10.064356+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030210.png,SUCCESS,0.167923257
2024-05-07 20:27:10.069596+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030358.png,SUCCESS,0.265342855
2024-05-07 20:27:10.073868+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030364.png,SUCCESS,0.255785136
2024-05-07 20:27:10.078252+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030365.png,SUCCESS,0.297784322
2024-05-07 20:27:10.083429+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030359.png,SUCCESS,0.26539364
2024-05-07 20:27:10.088855+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030211.png,SUCCESS,0.164247583
2024-05-07 20:27:10.093128+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030289.png,SUCCESS,0.20071209
2024-05-07 20:27:10.097262+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030276.png,SUCCESS,0.240527127
2024-05-07 20:27:10.101096+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030262.png,SUCCESS,0.245089023
2024-05-07 20:27:10.105167+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030302.png,SUCCESS,0.402551095
2024-05-07 20:27:10.110451+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030317.png,SUCCESS,0.28534558
2024-05-07 20:27:10.114519+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030303.png,SUCCESS,0.360808105
2024-05-07 20:27:10.119800+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030263.png,SUCCESS,0.234500626
2024-05-07 20:27:10.124922+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030277.png,SUCCESS,0.239367553
2024-05-07 20:27:10.130092+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030288.png,SUCCESS,0.21423146
2024-05-07 20:27:10.135171+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030261.png,SUCCESS,0.29692229
2024-05-07 20:27:10.140369+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030275.png,SUCCESS,0.236324154
2024-05-07 20:27:10.144859+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030301.png,SUCCESS,0.386334219
2024-05-07 20:27:10.149577+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030329.png,SUCCESS,0.206003056
2024-05-07 20:27:10.153912+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030328.png,SUCCESS,0.202822317
2024-05-07 20:27:10.158204+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030300.png,SUCCESS,0.391988065
2024-05-07 20:27:10.165304+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030274.png,SUCCESS,0.272724232
2024-05-07 20:27:10.171377+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030260.png,SUCCESS,0.289593432
2024-05-07 20:27:10.177860+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030264.png,SUCCESS,0.304318909
2024-05-07 20:27:10.186092+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030270.png,SUCCESS,0.225723058
